SITE CODE= E4EìåãûêÁë„ìcãÊëÂéËí¨        ,38.1033,142.8600, 24,9.0,40613.6154873, 54.13, 94.51
 LAT.=   35.6890
 LON.=  139.7559
 SAMPLING RATE= 100Hz 
 UNIT  = gal(cm/s/s) 
INITIAL TIME = 2011 03 11 14 47 10
 NS,EW,UD
-0.003,-0.004,0.006
0.006,0.008,0.001
0.011,0.015,0.001
0.014,0.026,0.004
0.018,0.042,0.007
0.025,0.057,0.006
0.037,0.064,0.006
0.053,0.062,0.008
0.069,0.054,0.010
0.077,0.039,0.008
0.072,0.019,0.004
0.053,-0.002,0.005
0.026,-0.020,0.014
-0.002,-0.032,0.028
-0.030,-0.039,0.039
-0.053,-0.047,0.046
-0.068,-0.056,0.049
-0.076,-0.058,0.050
-0.079,-0.046,0.047
-0.080,-0.025,0.039
-0.084,-0.007,0.028
-0.084,0.000,0.018
-0.075,-0.001,0.010
-0.052,0.000,0.004
-0.021,0.013,-0.002
0.004,0.031,-0.009
0.018,0.047,-0.017
0.024,0.053,-0.023
0.027,0.049,-0.027
0.032,0.039,-0.026
0.036,0.022,-0.021
0.037,0.000,-0.014
0.033,-0.027,-0.009
0.028,-0.054,-0.008
0.022,-0.073,-0.010
0.017,-0.081,-0.016
0.015,-0.075,-0.020
0.017,-0.059,-0.020
0.025,-0.034,-0.016
0.031,-0.006,-0.012
0.030,0.019,-0.010
0.020,0.041,-0.008
0.011,0.057,-0.002
0.011,0.065,0.007
0.017,0.063,0.020
0.021,0.054,0.031
0.014,0.041,0.041
-0.001,0.025,0.047
-0.017,0.008,0.048
-0.026,-0.010,0.040
-0.031,-0.024,0.022
-0.037,-0.030,-0.002
-0.045,-0.028,-0.027
-0.051,-0.026,-0.044
-0.051,-0.030,-0.053
-0.048,-0.035,-0.051
-0.042,-0.032,-0.039
-0.034,-0.020,-0.020
-0.021,-0.006,-0.003
-0.001,0.001,0.006
0.021,0.004,0.009
0.039,0.008,0.010
0.050,0.017,0.013
