SITE CODE= 4B9ëÂçËéså√êÏéOì˙í¨          ,38.1033,142.8600, 24,9.0,40613.6154873, 26.93, 46.56
 LAT.=   38.5741
 LON.=  140.9561
 SAMPLING RATE= 100Hz 
 UNIT  = gal(cm/s/s) 
INITIAL TIME = 2011 03 11 14 46 30
 NS,EW,UD
-0.067,-0.023,-0.026
-0.119,-0.010,-0.019
0.003,-0.014,-0.026
0.014,-0.009,-0.023
-0.076,0.014,-0.014
-0.030,0.002,-0.013
-0.104,-0.011,-0.005
-0.088,-0.002,-0.002
0.074,-0.009,-0.006
0.050,-0.017,0.000
0.012,0.000,-0.003
0.068,0.005,-0.009
0.099,0.000,0.001
0.097,0.015,0.009
0.138,0.007,0.009
0.144,-0.001,0.010
0.051,0.019,0.016
0.095,0.004,0.010
0.138,-0.002,0.009
0.074,0.025,0.016
0.042,0.022,0.005
0.054,0.011,0.004
0.041,0.022,0.001
-0.104,0.022,-0.009
-0.112,-0.007,-0.005
-0.033,0.001,-0.008
-0.048,0.010,-0.019
-0.054,-0.016,-0.018
-0.088,-0.001,-0.012
0.004,0.001,-0.007
0.097,-0.038,0.002
0.037,-0.029,0.014
-0.007,-0.016,0.015
0.004,-0.039,0.008
0.050,-0.033,0.003
0.055,-0.015,-0.011
0.054,-0.033,-0.013
0.006,-0.027,-0.002
-0.102,0.005,-0.006
-0.045,0.004,-0.005
-0.063,0.011,-0.004
-0.128,0.034,-0.016
0.039,0.006,-0.026
-0.006,-0.002,-0.024
-0.079,0.035,-0.014
-0.028,0.009,-0.007
-0.093,-0.008,0.005
-0.059,0.028,0.008
0.024,0.023,0.004
0.089,-0.003,0.011
-0.034,0.003,0.014
-0.086,0.005,0.009
0.005,-0.016,0.014
-0.080,-0.001,0.013
-0.100,0.008,-0.003
-0.079,-0.016,-0.001
-0.004,0.000,0.009
-0.009,-0.002,-0.002
-0.027,-0.038,-0.008
0.074,-0.023,-0.011
0.105,-0.004,-0.023
0.097,-0.023,-0.016
-0.034,-0.022,0.001
0.053,0.013,0.003
0.122,0.008,0.006
0.014,-0.014,0.011
0.073,-0.003,0.003
-0.016,-0.007,0.001
-0.025,-0.019,0.017
-0.003,-0.015,0.017
-0.022,-0.016,0.007
0.132,-0.013,0.008
0.089,-0.005,-0.007
0.038,-0.005,-0.028
0.050,-0.012,-0.029
0.046,-0.004,-0.032
0.084,0.004,-0.035
-0.048,0.011,-0.024
-0.031,0.022,-0.013
0.076,0.026,-0.007
0.002,0.033,0.006
0.023,0.029,0.011
0.059,0.021,0.011
0.019,0.013,0.016
0.041,-0.001,0.009
0.082,-0.016,-0.002
0.093,-0.018,-0.004
0.074,-0.005,-0.006
-0.027,-0.002,-0.012
-0.114,0.011,-0.016
-0.078,0.018,-0.004
-0.048,0.005,0.003
-0.067,0.002,0.001
-0.009,0.006,0.005
0.034,-0.004,0.005
-0.031,-0.021,0.012
-0.023,-0.013,0.020
-0.055,-0.005,0.014
-0.075,-0.018,0.014
0.030,-0.017,0.009
-0.095,-0.002,-0.001
-0.175,-0.002,0.000
-0.012,-0.015,-0.003
-0.106,-0.016,-0.014
-0.164,-0.021,-0.021
-0.061,-0.027,-0.023
-0.112,-0.013,-0.020
-0.023,-0.004,-0.013
0.027,0.002,-0.004
-0.023,0.002,-0.003
-0.009,-0.003,-0.008
-0.034,-0.006,-0.008
0.030,-0.009,-0.010
-0.011,-0.002,-0.010
-0.073,-0.006,0.004
-0.016,-0.004,0.013
0.036,0.002,0.009
0.057,-0.007,0.009
0.010,0.002,0.007
0.093,0.008,0.000
0.094,0.002,-0.007
-0.025,0.017,-0.015
0.056,0.025,-0.019
0.078,0.018,-0.015
-0.059,0.020,-0.010
-0.050,0.017,-0.004
-0.013,0.010,0.005
-0.074,0.005,0.011
0.000,-0.005,0.005
0.009,-0.007,0.001
-0.100,-0.007,0.007
-0.031,-0.014,0.006
0.037,-0.023,0.003
0.006,-0.015,0.003
0.012,0.002,-0.006
0.007,-0.003,-0.010
-0.040,-0.014,-0.012
0.005,-0.005,-0.017
0.050,-0.014,-0.008
0.025,-0.027,-0.001
0.018,-0.009,-0.010
-0.074,0.010,-0.008
-0.041,0.015,-0.001
0.078,0.003,-0.006
0.088,-0.007,-0.009
0.138,-0.004,-0.007
0.145,-0.010,-0.004
0.120,-0.011,-0.005
0.043,0.005,-0.006
-0.095,0.016,0.000
-0.080,0.009,0.003
-0.037,0.001,0.002
-0.070,0.006,0.000
0.039,-0.005,0.004
0.159,-0.020,0.011
0.112,-0.013,0.007
0.091,-0.011,0.005
0.074,-0.018,0.016
-0.010,-0.015,0.015
-0.106,-0.014,0.007
-0.066,-0.013,0.006
0.040,-0.003,0.000
-0.082,0.001,-0.005
-0.157,0.002,-0.013
-0.065,0.009,-0.021
-0.013,0.015,-0.016
0.020,0.007,-0.017
0.052,-0.004,-0.018
-0.001,-0.003,-0.015
-0.084,-0.011,-0.012
-0.007,-0.020,-0.010
0.006,-0.015,-0.016
0.004,-0.006,-0.008
0.155,-0.010,0.004
0.095,-0.018,0.008
0.014,-0.001,0.015
0.130,0.005,0.018
0.107,-0.002,0.020
0.095,0.007,0.020
0.078,0.006,0.009
-0.003,-0.009,0.001
0.026,-0.014,-0.003
-0.075,-0.009,-0.011
-0.068,-0.013,-0.010
-0.007,-0.007,-0.004
-0.090,-0.001,-0.002
-0.029,-0.002,-0.004
-0.052,0.005,-0.011
-0.121,0.001,-0.012
-0.090,-0.011,-0.011
-0.045,-0.005,-0.008
0.001,0.009,-0.002
-0.009,0.009,0.004
-0.005,0.010,0.011
-0.020,0.018,0.007
-0.053,0.009,-0.005
-0.065,-0.001,-0.002
0.031,0.004,-0.010
0.039,-0.001,-0.018
-0.149,-0.005,-0.009
-0.139,0.006,-0.006
-0.062,0.013,0.001
-0.054,0.005,0.000
-0.097,0.009,-0.002
-0.082,-0.007,-0.002
0.086,-0.029,-0.005
0.031,-0.018,-0.005
0.074,-0.023,-0.013
0.132,-0.029,-0.009
-0.056,-0.006,-0.003
-0.014,0.001,-0.010
-0.122,-0.007,-0.005
-0.150,-0.006,0.006
0.081,0.002,0.003
-0.074,-0.010,0.008
